"",avg growth rate,price,ep,mkt
NKE,0.16394197344839,67.129997,0.0422314930239011,11.3325584967229
NTAP,0.16999451360487,58.59,0.026284348864994,9.21069181021453
NTCT,-1.13032831963762,26.35,0.0251423149905123,7.71764122791891
NVEC,0.0663971774943685,70.599998,0.0370042503400637,5.77270465475569
ORCL,-0.0494742356236287,49.59,0.0447166767493446,12.114914929801
PAYX,0.0922770067920243,65.050003,0.0303612591685814,9.82007838886962
PBH,0.0163127874649326,35,0.0432857142857143,7.76365571658301
PDCO,-0.0452412086809199,31.860001,0.0620684224083985,8.39343560487153
PETS,0.10255372173732,45.23,0.0218881273491046,5.84721556865117
PLT,-0.0614322483827443,54.470001,0.0444740215811635,7.4972671909005
QSII,0.724862124834473,12.42,0.0219404186795491,6.87239700300553
RECN,0.0342113706067457,15.8,0.0411392405063291,6.21194380233535
RL,-0.594005278799095,107.510002,0.0458794522206408,9.21567897126221
ROLL,0.0565638687725922,124.360001,0.021650852190006,7.51377115263388
ROX,-0.524077930099107,1.17,-0.0277777777777778,5.30541859305026
RPM,-0.061704425761022,49.950001,0.0397897889931974,8.79178223933465
RVSB,-0.0628472696634347,8.97,0.0468227424749164,4.68355012741633
RXN,0.558802572674531,29.23,0.0205268559698939,7.83301812083314
SGMA,0.0944715157707647,7.31,0.0601915184678523,3.423064053822
SJM,0.155687758154903,122.839996,0.0399096398537818,9.48867662360304
SKY,-0.760122662455577,20.84,-0.0293905950095969,3.9059184102449
STE,-0.0478980343601193,90.639999,0.0200242720655811,8.46664637623848
SYMC,0.2562789225083,26.98,0.0563380281690141,9.61184447900034
TAYD,0.470578144558412,11.22,0.0635026737967915,3.78044228044239
TDW,1.03779972002018,25.77,-0.154734187039193,6.82808181354696
TESS,-0.526498252537335,23.879999,0.0397822462220371,5.26716951994397
THR,0.00549257809899935,21.969999,0.0395994556030704,6.53396534851722
TRNS,0.0437973971792428,15.53,0.0375080489375403,4.28122446395781
TSRI,-0.835049778521091,6.5,0.0153846153846154,2.1901440136483
UHAL,0.0758092169193904,349.179993,0.0580001729938748,8.76054713785842
UWN,0.728990896423926,2.38,0.0262605042016807,3.41249004550658
VALU,0.166392010877404,18.59,0.0437062937062937,5.03502656047341
VRTU,-0.148341923149189,49.619999,0.0231257562097089,6.94651023464878
WOR,0.267405266642149,45.970001,0.0467696313515416,7.76180129426975
XLNX,0.00271991119137733,68.93,0.0323153924271,9.47072902081502
XPLR,0.818090090201977,2.99,-0.0367892976588629,3.8208190336009
